,place_name,city,state,type,rating,established_year,time_to_visit_hr,entrance_fee_inr,weekly_off,significance,dslr_allowed,google_reviews_lakh,best_time_text,has_airport_nearby,zone
164,Hatu Peak,Narkanda,Himachal Pradesh,Viewpoint,4.5,Unknown,2,0,,Nature,Yes,1.1,All,Yes,Northern
165,Barot Valley,Barot,Himachal Pradesh,Valley,4.7,Unknown,2,0,,Nature,Yes,1.2,Morning,No,Northern
166,Serolsar Lake,Shoja,Himachal Pradesh,Lake,4.4,Unknown,2.5,0,,Nature,Yes,0.9,Morning,No,Northern
167,Kufri Fun World,Kufri,Himachal Pradesh,Ski Resort,3.8,1975,5,1500,,Recreational,Yes,0.1,All,Yes,Northern
168,Naini Lake,Nainital,Uttarakhand,Lake,4.2,Unknown,1.5,0,,Nature,Yes,0.01,Morning,Yes,Northern
169,Laxman Jhula,Rishikesh,Uttarakhand,Suspension Bridge,4.4,1939,1,0,,Cultural,Yes,0.03,Morning,Yes,Northern
170,Har Ki Pauri,Haridwar,Uttarakhand,Ghat,4.5,Unknown,1,0,,Religious,Yes,0.025,All,Yes,Northern
171,Robber's Cave,Dehradun,Uttarakhand,Cave,4.5,Unknown,1.5,25,,Nature,Yes,0.01,Morning,Yes,Northern
172,Kempty Falls,Mussoorie,Uttarakhand,Waterfall,4.2,Unknown,1.5,15,,Nature,Yes,0.55,Morning,Yes,Northern
173,Auli Ski Resort,Auli,Uttarakhand,Ski Resort,4.5,1990,3,0,,Adventure,Yes,0.01,Morning,No,Northern
174,Badrinath Temple,Badrinath,Uttarakhand,Temple,4.8,-820,1,0,,Religious,No,0.29,All,No,Northern
175,Binsar Wildlife Sanctuary,Almora,Uttarakhand,Wildlife Sanctuary,4.3,1988,2,150,,Wildlife,Yes,0.01,All,No,Northern
176,Chaubatia Gardens,Ranikhet,Uttarakhand,Orchard,4,1868,1,50,,Recreational,Yes,0.025,All,No,Northern
177,Jim Corbett National Park,Jim Corbett,Uttarakhand,National Park,4.4,1936,3,100,,Wildlife,Yes,0.3,All,Yes,Northern
178,Gangotri Temple,Uttarkashi,Uttarakhand,Temple,4.8,1751,1,0,,Religious,No,0.05,All,No,Northern
179,Tungnath Temple,Chopta,Uttarakhand,Temple,4.8,751,2,0,,Religious,No,0.09,All,No,Northern
180,Valley of Flowers,Joshimath,Uttarakhand,National Park,4.7,1982,5,150,,Nature,Yes,0.035,Morning,No,Northern
181,Taj Mahal,Agra,Uttar Pradesh,Mausoleum,4.6,1632,2,50,Friday,Historical,Yes,2.25,Morning,Yes,Central
182,Kashi Vishwanath Temple,Varanasi,Uttar Pradesh,Temple,4.7,Unknown,1,0,,Religious,No,0.9,All,Yes,Central
183,Bara Imambara,Lucknow,Uttar Pradesh,Monument,4.4,1784,1.5,50,Monday,Historical,No,0.45,All,Yes,Central
184,Krishna Janmabhoomi,Mathura,Uttar Pradesh,Temple,4.7,Unknown,1,0,,Religious,No,0.13,All,Yes,Central
185,Ram Janmabhoomi,Ayodhya,Uttar Pradesh,Religious Site,4.8,Unknown,1,0,,Religious,No,0.025,All,Yes,Central
186,Banke Bihari Temple,Vrindavan,Uttar Pradesh,Temple,4.8,1864,1,0,,Religious,No,0.37,All,Yes,Central
187,Triveni Sangam,Allahabad,Uttar Pradesh,Confluence,4.5,Unknown,1,0,,Religious,Yes,0.09,Morning,Yes,Central
188,Jhansi Fort,Jhansi,Uttar Pradesh,Fort,4.4,1613,1.5,15,,Historical,Yes,0.25,All,Yes,Central
189,Dhamek Stupa,Sarnath,Uttar Pradesh,Monument,4.6,-500,1,5,,Historical,Yes,0.065,All,Yes,Central
190,Buland Darwaza,Fatehpur Sikri,Uttar Pradesh,Monument,4.4,1571,2,40,,Historical,Yes,0.07,Afternoon,Yes,Central
191,Okhla Bird Sanctuary,Noida,Uttar Pradesh,Bird Sanctuary,4.3,1990,1.5,30,,Wildlife,Yes,0.035,All,Yes,Central
192,Aligarh Fort,Aligarh,Uttar Pradesh,Fort,4.1,1524,1,20,,Historical,Yes,0.0165,Afternoon,Yes,Central
193,Augarnath Temple,Meerut,Uttar Pradesh,Temple,4.8,Unknown,1,0,,Religious,No,0.045,All,Yes,Central
194,Allen Forest Zoo,Kanpur,Uttar Pradesh,Zoo,4.2,1971,2,150,Monday,Wildlife,Yes,0.21,All,Yes,Central
195,Dal Lake,Srinagar,Jammu and Kashmir,Lake,4.6,Unknown,2,0,,Nature,Yes,0.15,Morning,Yes,Northern
196,Pangong Tso,Leh,Ladakh,Lake,4.9,Unknown,2,20,,Nature,Yes,0.15,Morning,Yes,Northern
197,Betaab Valley,Pahalgam,Jammu and Kashmir,Valley,4.6,Unknown,2,100,,Nature,Yes,0.11,All,No,Northern
198,Vaishno Devi,Jammu,Jammu and Kashmir,Temple,4.7,Unknown,5,0,,Religious,No,0.55,All,Yes,Northern
199,Patnitop Height,Udhampur,Jammu and Kashmir,Hill,4.1,Unknown,2,0,,Recreational,Yes,0.01,All,No,Northern
200,Amarnath Cave,Anantnag,Jammu and Kashmir,Temple,4.5,Unknown,6,0,,Religious,Yes,0.11,All,No,Northern
201,Thiksey Monastery,Leh,Ladakh,Monastery,4.7,1430,1.5,20,,Religious,No,0.05,All,Yes,Northern
202,Nubra Valley,Nubra Valley,Ladakh,Valley,4.5,Unknown,2,0,,Nature,Yes,0.1,All,No,Northern
203,Kargil War Memorial,Kargil,Ladakh,War Memorial,4.8,24,1,0,,Historical,Yes,0.011,All,No,Northern
204,Diskit Monastery,Diskit,Ladakh,Monastery,4.7,1351,1,20,,Religious,No,0.015,Morning,No,Northern
205,Kishtwar National Park,Kishtwar,Jammu and Kashmir,National Park,4.3,1981,3,100,,Wildlife,Yes,0.01,All,No,Northern
206,Hemis National Park,Hemis,Ladakh,National Park,4.4,1981,4,20,,Wildlife,Yes,0.02,All,No,Northern
207,Dras War Memorial,Dras,Ladakh,War Memorial,4.8,Unknown,1,0,,Historical,Yes,0.012,All,No,Northern
208,Magnetic Hill,Leh,Ladakh,Gravity Hill,3.7,Unknown,0.5,0,,Nature,Yes,0.1,All,Yes,Northern
209,Khardung La Pass,Leh,Ladakh,Hill,4.5,Unknown,1,0,,Adventure,Yes,0.05,Afternoon,Yes,Northern
210,Thiksey Monastery,Leh,Ladakh,Monastery,4.7,1430,1.5,30,,Religious,No,0.05,All,Yes,Northern
211,Prem Mandir,Vrindavan,Uttar Pradesh,Temple,4.8,2012,1.5,0,,Religious,Yes,0.49,Evening,Yes,Central
212,Kirti Mandir,Porbandar,Uttar Pradesh,Memorial,4.8,1950,1,0,,Historical,Yes,0.03,Morning,Yes,Central
213,Nand Gaon,Mathura,Uttar Pradesh,Village,4.1,Unknown,1,0,,Cultural,Yes,0.01,Morning,Yes,Central
214,Barsana Mandir,Mathura,Uttar Pradesh,Temple,4.8,Unknown,1,0,,Religious,Yes,0.1,Morning,Yes,Central
215,Tiger Hill,Darjeeling,West Bengal,Sunrise Point,4.5,Unknown,1,0,,Nature,Yes,0.025,All,No,Eastern
216,Jaldapara National Park,Siliguri,West Bengal,Wildlife Sanctuary,4.4,1941,3,250,,Wildlife,Yes,0.035,All,Yes,Eastern
217,Sundarbans National Park,Sundarbans,West Bengal,National Park,4.4,1984,4,60,,Wildlife,Yes,0.065,All,No,Eastern
218,Digha Beach,Digha,West Bengal,Beach,4.5,Unknown,1.5,0,,Recreational,Yes,0.09,Morning,No,Eastern
219,Hazarduari Palace,Murshidabad,West Bengal,Palace,4.5,1837,1.5,10,Friday,Historical,Yes,0.18,Morning,Yes,Eastern
220,Kankalitala Temple,Bolpur,West Bengal,Temple,4.7,Unknown,0.5,0,,Religious,No,0.045,All,Yes,Eastern
221,Hangseswari Temple,Hooghly,West Bengal,Temple,4.6,1814,0.5,0,,Architectural,No,0.07,All,Yes,Eastern
222,Gorumara National Park,Jalpaiguri,West Bengal,National Park,4.4,1949,3,100,,Wildlife,Yes,0.07,All,Yes,Eastern
223,Cooch Behar Palace,Cooch Behar,West Bengal,Palace,4.5,1887,1,20,Friday,Historical,Yes,0.09,All,Yes,Eastern
224,Ayodhya Hills,Purulia,West Bengal,Hill,4.5,Unknown,2.5,0,,Nature,Yes,0.15,All,No,Eastern
225,Jagannath Temple,Puri,Odisha,Temple,4.7,12th century,2,0,,Religious,No,1,All,Yes,Eastern
226,Sun Temple,Konark,Odisha,Temple,4.7,1250,1.5,40,,Historical,Yes,0.83,All,Yes,Eastern
227,Lingaraj Temple,Bhubaneswar,Odisha,Temple,4.6,11th century,1,0,,Religious,No,0.35,All,Yes,Eastern
228,Khandadhar Waterfall,Rourkela,Odisha,Waterfall,4.5,Unknown,1.5,0,,Nature,Yes,1.2,All,No,Eastern
229,Barabati Fort,Cuttack,Odisha,Fort,4.5,-987,1,0,,Historical,Yes,0.13,All,Yes,Eastern
230,Hirakud Dam,Sambalpur,Odisha,Dam,4.5,1957,1,0,,Engineering Marvel,Yes,0.01,All,No,Eastern
231,Chilika Lake,Chilika,Odisha,Lake,3.9,Unknown,2,0,,Nature,Yes,0.1,Morning,Yes,Eastern
232,Tara Tarini Temple,Berhampur,Odisha,Temple,4.6,Ancient,1,0,,Religious,No,0.01,All,Yes,Eastern
233,Badaghagara Waterfall,Keonjhar,Odisha,Waterfall,4.3,Unknown,1,0,,Nature,Yes,0.018,Morning,No,Eastern
234,Chandipur Beach,Balasore,Odisha,Beach,4.2,Unknown,1.5,0,,Recreational,Yes,0.014,Morning,Yes,Eastern
235,Sanaghagara Waterfall,Kendujhar,Odisha,Waterfall,4.4,Unknown,1,0,,Nature,Yes,0.055,All,No,Eastern
236,Marina Beach,Chennai,Tamil Nadu,Beach,3.9,Unknown,1.5,0,,Recreational,Yes,0.1,Morning,Yes,Southern
237,Meenakshi Amman Temple,Madurai,Tamil Nadu,Temple,4.7,6th century AD,2,0,,Religious,No,0.65,All,Yes,Southern
238,Ramanathaswamy Temple,Rameswaram,Tamil Nadu,Temple,4.6,12th century,1.5,0,,Religious,No,0.01,All,No,Southern
239,Vivekananda Rock Memorial,Kanyakumari,Tamil Nadu,Memorial,4.6,1970,1,20,,Historical,No,0.47,Morning,Yes,Southern
240,Ooty Lake,Ooty,Tamil Nadu,Lake,4.1,1824,1,10,,Recreational,Yes,0.61,Morning,Yes,Southern
241,Marudamalai Temple,Coimbatore,Tamil Nadu,Temple,4.7,12th century,1,0,,Religious,No,0.3,All,Yes,Southern
242,Kodaikanal Lake,Kodaikanal,Tamil Nadu,Lake,3.9,1863,2,0,,Recreational,Yes,0.1,Morning,No,Southern
243,Brihadeeswarar Temple,Thanjavur,Tamil Nadu,Temple,4.8,110,1.5,0,,Religious,No,0.35,All,Yes,Southern
244,Shore Temple,Mahabalipuram,Tamil Nadu,Temple,4.6,7th century,1,40,,Historical,No,0.09,All,Yes,Southern
245,Yercaud Lake,Yercaud,Tamil Nadu,Lake,4.2,Unknown,1,0,,Recreational,Yes,0.019,Morning,No,Southern
246,Nellaiappar Temple,Tirunelveli,Tamil Nadu,Temple,4.6,7th century,1,0,,Religious,No,0.16,All,Yes,Southern
247,Nataraja Temple,Chidambaram,Tamil Nadu,Temple,4.7,10th century,1,0,,Religious,No,0.28,All,Yes,Southern
248,Kanaka Durga Temple,Vijayawada,Andhra Pradesh,Temple,4.7,Unknown,1,0,,Religious,No,0.44,All,Yes,Southern
249,Rishikonda Beach,Visakhapatnam,Andhra Pradesh,Beach,4.5,Unknown,1.5,0,,Recreational,Yes,0.39,Morning,Yes,Southern
250,Mallikarjuna Swamy Temple,Srisailam,Andhra Pradesh,Temple,4.7,14th century,1,0,,Religious,No,0.49,All,No,Southern
251,Papikondalu,Rajahmundry,Andhra Pradesh,Hill,4.3,Unknown,2,0,,Nature,Yes,0.032,All,Yes,Southern
252,Lepakshi,Anantapur,Andhra Pradesh,Site,4.6,16th century,1.5,0,,Historical,Yes,0.075,All,No,Southern
253,Belum Caves,Kurnool,Andhra Pradesh,Cave,4.4,Unknown,1.5,65,,Natural Wonder,Yes,0.11,Afternoon,Yes,Southern
254,Amaravathi Temple,Amravati,Andhra Pradesh,Temple,4.7,Unknown,1,0,,Religious,No,0.041,All,Yes,Southern
255,Uppalapadu Bird Sanctuary,Guntur,Andhra Pradesh,Bird Sanctuary,4.4,Unknown,1,10,,Wildlife,Yes,0.7,All,Yes,Southern
256,Gandikota Fort,Kadapa,Andhra Pradesh,Fort,4.5,12th century,1.5,0,,Historical,Yes,0.015,Morning,No,Southern
257,Prasanthi Nilayam,Puttaparthi,Andhra Pradesh,Spiritual Center,4.7,1950,1,0,,Religious,Yes,0.12,All,Yes,Southern
258,Simhachalam Temple,Vizianagaram,Andhra Pradesh,Temple,4.7,198,1,0,,Religious,No,0.59,All,Yes,Southern
259,Kailasagiri,Visakhapatnam,Andhra Pradesh,Hill,4.5,Unknown,2,0,,Recreational,Yes,0.019,All,Yes,Southern
260,Submarine Museum,Visakhapatnam,Andhra Pradesh,Museum,4.6,22,1,40,,Historical,Yes,0.49,All,Yes,Southern
261,Borra Caves,Visakhapatnam,Andhra Pradesh,Cave,4.5,Unknown,2,60,,Natural Wonder,Yes,0.31,Afternoon,No,Southern
262,War Memorial,Visakhapatnam,Andhra Pradesh,War Memorial,4.6,Unknown,1,0,,Historical,Yes,0.059,All,Yes,Southern
263,Indira Gandhi Zoological Park,Visakhapatnam,Andhra Pradesh,Zoo,4.1,1977,2,20,Monday,Wildlife,Yes,0.25,Afternoon,Yes,Southern
264,Matsyadarshini Aquarium,Visakhapatnam,Andhra Pradesh,Aquarium,3.8,Unknown,1,20,,Recreational,Yes,0.03,All,Yes,Southern
265,Visakha Museum,Visakhapatnam,Andhra Pradesh,Museum,4.3,1991,1,10,,Cultural,Yes,0.065,All,Yes,Southern
266,Nathula Pass,Gangtok,Sikkim,Hill,4.3,Unknown,2,20,,Historical,Yes,0.15,Afternoon,Yes,Eastern
267,Pemayangtse Monastery,Pelling,Sikkim,Monastery,4.6,1705,1,20,,Religious,No,0.015,Morning,No,Eastern
268,Char Dham,Namchi,Sikkim,Religious Complex,4.7,211,2,50,,Religious,No,0.12,All,Yes,Eastern
269,Rumtek Monastery,Gangtok,Sikkim,Monastery,4.6,1960s,1,10,,Religious,No,0.035,Morning,Yes,Eastern
270,Buddha Park,Ravangla,Sikkim,Park,4.8,213,1,50,,Cultural,Yes,0.1,All,Yes,Eastern
271,Baba Harbhajan Singh Temple,Gangtok,Sikkim,Temple,4.7,1967,1,0,,Religious,No,0.075,All,Yes,Eastern
272,Tsomgo Lake,Gangtok,Sikkim,Lake,4.5,Unknown,2,0,,Nature,Yes,0.15,Morning,Yes,Eastern
273,Kamakhya Temple,Guwahati,Assam,Temple,4.6,Unknown,2,0,,Religious,No,0.21,All,Yes,North Eastern
274,Kaziranga National Park,Kaziranga,Assam,National Park,4.5,1905,3,650,,Wildlife,No,0.068,Morning,No,North Eastern
275,Umananda Island,Guwahati,Assam,Island,4.1,Unknown,1,0,,Nature,Yes,0.01,Morning,Yes,North Eastern
276,Sivasagar Sivadol,Sivasagar,Assam,Temple,4.7,1734,1,0,,Historical,Yes,0.065,All,No,North Eastern
277,Majuli Island,Majuli,Assam,River Island,4.7,Unknown,2,0,,Cultural,Yes,0.01,Morning,No,North Eastern
278,Manas National Park,Manas,Assam,National Park,4.6,1990,3,500,,Wildlife,Yes,0.19,Morning,No,North Eastern
279,Hayagriva Madhava Temple,Hajo,Assam,Temple,4.5,Unknown,1,0,,Religious,Yes,0.9,All,No,North Eastern
280,Pobitora Wildlife Sanctuary,Guwahati,Assam,Wildlife Sanctuary,4.4,1987,2,500,,Wildlife,Yes,0.037,All,Yes,North Eastern
281,Tawang Monastery,Tawang,Arunachal Pradesh,Monastery,4.7,1680,2,0,,Religious,No,0.032,Morning,No,North Eastern
282,Ujjayanta Palace,Agartala,Tripura,Palace,4.5,1901,1.5,10,Monday,Historical,Yes,0.035,All,Yes,North Eastern
283,Dumboor Lake,Dumboor,Tripura,Lake,4.5,Unknown,1,0,,Nature,Yes,0.01,Morning,No,North Eastern
284,Unakoti Rock Carvings,Unakoti,Tripura,Rock Carvings,4.5,700,1.5,20,,Historical,Yes,0.025,Morning,No,North Eastern
285,Chitrakote Falls,Bastar,Chhattisgarh,Waterfall,4.6,Unknown,1.5,0,,Nature,Yes,0.19,Morning,No,Central
286,Dzükou Valley,Dzükou Valley,Nagaland,Valley,4.7,Unknown,3,0,,Trekking,Yes,0.01,Afternoon,No,North Eastern
287,Promenade Beach,Puducherry,Puducherry,Beach,4.5,Unknown,1,0,,Recreational,Yes,0.09,Morning,Yes,Southern
288,Auroville,Auroville,Puducherry,Township,4.1,1968,2,0,,Cultural,Yes,0.035,All,Yes,Southern
289,Paradise Beach,Puducherry,Puducherry,Beach,4.5,Unknown,1,200,,Recreational,Yes,0.015,Morning,Yes,Southern
290,Cellular Jail,Port Blair,Andaman and Nicobar Islands,Landmark,4.7,1906,1.5,30,Monday,Historical,Yes,0.12,Afternoon,Yes,Southern
291,Radhanagar Beach,Havelock Island,Andaman and Nicobar Islands,Beach,4.8,Unknown,1,0,,Nature,Yes,0.09,Morning,No,Southern
292,Bharatpur Beach,Neil Island,Andaman and Nicobar Islands,Beach,4.5,Unknown,1,0,,Nature,Yes,0.04,Morning,No,Southern
293,Limestone Caves,Baratang Island,Andaman and Nicobar Islands,Natural Feature,4.4,Unknown,1.5,250,,Nature,Yes,0.015,Morning,No,Southern
294,Naida Caves,Diu,Daman and Diu,Cave,4.5,Unknown,1,0,,Nature,Yes,0.6,Afternoon,No,Western
295,Diu Fort,Diu,Daman and Diu,Fort,4.6,1535,1.5,0,,Historical,Yes,1.2,Afternoon,No,Western
296,Baba Baidyanath Temple,Deoghar,Jharkhand,Temple,4.7,Unknown,1,0,,Religious,Yes,1.8,All,Yes,Eastern
297,Pahari Mandir,Ranchi,Jharkhand,Temple,4.6,Unknown,1,0,,Religious,Yes,0.13,All,Yes,Eastern
298,Mahabodhi Temple,Bodh Gaya,Bihar,Temple,4.7,-260,1.5,0,,Religious,Yes,0.2,All,Yes,Eastern
299,Sanjay Gandhi Biological Park,Patna,Bihar,Zoo,4.3,Unknown,2.5,30,,Wildlife,Yes,0.5,All,Yes,Eastern
300,Takhat Shri Harimandir Ji Patna Sahib,Patna,Bihar,Gurudwara,4.7,Unknown,1,0,,Religious,Yes,0.25,All,Yes,Eastern
301,Budhha Smriti Park,Patna,Bihar,Park,4.4,Unknown,1,10,,Cultural,Yes,0.31,All,Yes,Eastern
302,Kingdom of Dreams,Gurugram,Haryana,Entertainment,4.4,2010,3,1100,Monday,Entertainment,Yes,0.3,Afternoon,Yes,Northern
303,Ambience Mall,Gurugram,Haryana,Mall,4.6,Unknown,2,0,,Shopping,Yes,1.2,Afternoon,Yes,Northern
304,DLF CyberHub,Gurugram,Haryana,Commercial Complex,4.7,Unknown,2,0,,Entertainment,Yes,0.71,Afternoon,Yes,Northern
305,Gurudwara Bangla Sahib,New Delhi,Delhi,Gurudwara,4.8,Unknown,1,0,,Religious,Yes,1.05,All,Yes,Northern
306,Kedarnath,Kedarnath,Uttarakhand,Temple,4.8,Unknown,1.5,0,,Religious,No,2,All,No,Northern
307,DLF Mall of India,Noida,Uttar Pradesh,Mall,4.6,2016,2,0,,Shopping,Yes,1.5,All,Yes,Central
308,The Grand Venice Mall,Greater Noida,Uttar Pradesh,Mall,4.2,Unknown,2,0,,Shopping,Yes,0.45,All,Yes,Central
309,Wonderla Amusement Park,Bengaluru,Karnataka,Amusement Park,4.5,2005,4,890,,Entertainment,Yes,0.95,All,Yes,Southern
310,Nandankanan Zoological Park,Bhubaneswar,Odisha,Zoo,4.4,1960,3,50,Monday,Wildlife,Yes,0.81,Afternoon,Yes,Eastern
311,Orion Mall,Bengaluru,Karnataka,Mall,4.5,2012,2,0,,Shopping,Yes,1.8,All,Yes,Southern
312,Inorbit Mall Cyberabad,Hyderabad,Telangana,Mall,4.5,2004,2,0,,Shopping,Yes,1.2,All,Yes,Southern
313,Jama Masjid,New Delhi,Delhi,Mosque,4.5,1656,1,0,,Historical,Yes,0.49,All,Yes,Northern
314,Ramanathaswamy Temple,Rameswaram,Tamil Nadu,Temple,4.7,Unknown,1.5,0,,Religious,No,0.1,All,Yes,Southern
315,Buddh International Circuit,Greater Noida,Uttar Pradesh,Race Track,4.6,2011,2,1500,Sunday,Sports,Yes,7.4,All,Yes,Central
316,Phoenix Palassio,Lucknow,Uttar Pradesh,Mall,4.6,2020,2,0,,Shopping,Yes,0.35,All,Yes,Central
317,LuLu International Shopping Mall,Kochi,Kerala,Mall,4.6,2013,3,0,,Shopping,Yes,1.9,All,Yes,Southern
318,Rail Museum,New Delhi,Delhi,Museum,4.4,1977,2,50,Monday,Cultural,Yes,0.24,Morning,Yes,Northern
319,Living Root Bridge,Cherrapunji,Meghalaya,Natural Feature,4.6,Unknown,2,0,,Nature,Yes,0.06,Morning,No,North Eastern
320,Akshardham,Gandhinagar,Gujarat,Temple,4.6,1992,3,0,Monday,Religious,No,0.18,All,Yes,Western
321,Agra Fort,Agra,Uttar Pradesh,Fort,4.5,1565,2,40,,Historical,Yes,1.3,Afternoon,Yes,Central
322,Madhya Pradesh Tribal Museum,Bhopal,Madhya Pradesh,Museum,4.7,2013,2,10,Monday,Cultural,Yes,0.15,All,Yes,Central
323,City Palace,Jaipur,Rajasthan,Palace,4.4,1727,2,200,,Historical,Yes,0.51,Morning,Yes,Northern
324,Albert Hall Museum,Jaipur,Rajasthan,Museum,4.5,1887,2,200,,Historical,Yes,0.63,All,Yes,Northern
